Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
A,Company 247,Rating agency 3,3/30/2011,Consumer Non-Durables,1.108308363,0.793333365,0.372584608,39.83434148,0.109984308,0.14326813,0.538717679,0.143021598,0.093463459,0.156670394,0.29565583,0.855506579,3.061091227,2.206319795,0.693544119,0.227953362,0.615173529,3.297195365,,3.202066975,0.143506912,11.61222906,5.298119794,0.144851175,2.431107318
A,Company 247,Rating agency 3,3/30/2011,Consumer Non-Durables,1.108308363,0.793333365,0.372584608,39.83434148,0.109984308,0.14326813,0.538717679,0.143021598,0.093463459,0.156670394,0.29565583,0.855506579,3.061091227,2.206319795,0.693544119,0.227953362,0.615173529,3.297195365,,3.202066975,0.143506912,11.61222906,5.298119794,0.144851175,2.431107318
BBB,Company 100,Rating agency 3,4/4/2011,Public Utilities,0.667874181,0.523901731,0.111197658,58.11913812,0.122092806,0.156453694,0.395782269,0.211273339,0.060846468,0.122410204,0.215125497,0.498881644,1.021328316,2.511633398,0.71449755,0.22548394,0.316086409,1.791616427,1.001604577,3.552485179,0.195867942,5.903190681,5.67975716,0.241532999,2.801976909
BBB,Company 337,Rating agency 3,4/7/2011,Consumer Services,0.907759946,0.817008052,0.378765287,36.16366005,0.126593934,0.185279832,0.790354848,0.21862428,0.06397549,0.13110924,0.158495535,0.505039347,12.16709436,1.482951967,0.593263895,0.311693849,0.80361911,2211.589566,,2.480974932,0.183559995,1.074381574,2726.225422,0.232694927,3.834721407
BBB,Company 337,Rating agency 3,4/7/2011,Consumer Services,0.907759946,0.817008052,0.378765287,36.16366005,0.126593934,0.185279832,0.790354848,0.21862428,0.06397549,0.13110924,0.158495535,0.505039347,12.16709436,1.482951967,0.593263895,0.311693849,0.80361911,2211.589566,,2.480974932,0.183559995,1.074381574,2726.225422,0.232694927,3.834721407
B,Company 381,Rating agency 3,4/8/2011,Capital Goods,2.22075367,1.41484472,0.443699779,56.08330934,0.01091429,0.007855276,0.124621123,0.028140075,0.022582873,0.024635958,,2.080283072,10.05425797,-2573.889178,1.008312399,-0.39146559,0.421790866,0.286054205,,-2574.403982,0.007806679,19.09477567,0.675500148,0.029225499,8.623690368
B,Company 94,Rating agency 3,4/8/2011,Energy,0.734362946,0.676297353,0.022580758,76.27837258,0.18928725,0.306299193,1.007381931,0.300598067,0.047859915,0.088627083,0.115670782,0.253701531,0.288600959,1.430606548,0.58732065,0.382135632,-0.356638584,-2.893426377,,2.429466167,0.308665998,7.047737943,8.153172764,0.542785563,0
BBB,Company 91,Rating agency 3,4/11/2011,Energy,1.374192405,0.2652826,0,50038.76625,198.0591902,309.8794292,1.005440831,408.5005663,0.032218248,0.054397911,0.074246243,0.000160891,0.00019561,1.31018201,0.569825566,0.357905558,-0.578895756,-3.14354321,,2.289738054,311.4997619,7.522518608,5.424834686,683.3820659,0
A,Company 92,Rating agency 3,4/27/2011,Consumer Services,1.640953342,0.194475163,0.051807127,0,0.037942378,0.059747165,0.324214135,0.058806859,0.055902675,0.116659688,0.162941381,1.477589157,2.600817708,1.911276981,0.657474614,0.359733134,0.709151883,5.49489481,2.938886084,2.926858484,0.058904846,8.370225794,7.886192291,0.089956761,6.791133951
BB,Company 190,Rating agency 3,4/27/2011,Consumer Non-Durables,1.59408918,0.354489678,0.057956101,22.98437384,0.051440882,0.067267962,0.055053366,0.066770144,0.089881283,0.189753569,0.191274036,1.773079153,8.576777392,1.137908474,0.534261009,0.22658329,1.434723852,-25.07033461,4.385127728,2.116371215,0.067350368,3.435965323,-17.25574018,-0.053599376,11.8976692
BBB,Company 10,Rating agency 3,4/27/2011,Public Utilities,0.7435431,0.507362485,0.259370848,29.65434129,0.056276861,0.085939072,0.231251147,0.126984008,0.026033761,0.069970012,0.089230348,0.459054484,0.59642117,2.421576139,0.704243734,0.342737274,0.421823966,3.440536174,,3.393730965,0.128522453,6.274724086,8.225616745,0.201152614,8.496322547
BBB,Company 36,Rating agency 3,4/28/2011,Transportation,1.11779962,0.92521106,0.51108704,34.1877112,0.147327154,0.149881065,1.000654175,0.286464057,0.056028212,0.062900964,0.1782355,0.379427024,0.446251898,2.251408703,0.695192164,0.611768759,0.435888141,3.736990549,3.509617613,3.246420841,0.149290291,4.038208534,8.447080781,0.305183792,0
BBB,Company 109,Rating agency 3,4/28/2011,Public Utilities,1.516803915,0.951740614,0.382738385,38.15929089,0.136846484,0.226488878,1.005931363,0.251559614,0.048910624,0.088295822,0.188545258,0.357824049,0.617374391,2.845740113,0.733519297,0.391151429,0.362294091,2.916440238,,3.875674371,0.225106472,4.980021783,7.945797687,0.282146148,0
BBB,Company 109,Rating agency 3,4/28/2011,Public Utilities,1.516803915,0.951740614,0.382738385,38.15929089,0.136846484,0.226488878,1.005931363,0.251559614,0.048910624,0.088295822,0.188545258,0.357824049,0.617374391,2.845740113,0.733519297,0.391151429,0.362294091,2.916440238,,3.875674371,0.225106472,4.980021783,7.945797687,0.282146148,0
B,Company 376,Rating agency 3,5/6/2011,Technology,1.164255197,1.023227064,0.613487809,48.44254177,-0.041442785,0.052219786,0.684247327,0.077069272,-0.020948126,0.034186074,,0.500688346,7.667777153,1.076190449,0.51519072,0.415808192,1.00559114,1.832138129,4.718100842,2.087473673,0.05195478,10.6536443,1.860910195,0.126111118,3.647786412
BBB,Company 217,Rating agency 3,5/16/2011,Energy,1.032969564,0.708097595,0.0085703,39.03481215,0.019337951,0.019826457,0.039882482,0.029860711,0.036684207,0.05403209,0.116904194,1.905261674,3.860625072,2.164491231,0.680378556,-0.001968749,-0.744391114,-1.398453998,,3.12490116,0.019775789,9.882443351,1.879202937,0.009996567,9.048427391
CCC,Company 278,Rating agency 3,5/24/2011,Capital Goods,32.13831809,10.56450054,10.07137263,362.7114869,-0.124014742,-0.569399645,0.128301346,-0.123851292,-0.002171516,-0.01029882,,0.01752079,1.369826584,3.768404723,0.791447138,0.781056066,0.99832657,1.255771208,,4.810402005,-0.568963976,62.74033104,1.269646068,2.088407013,0.542462863
CCC,Company 278,Rating agency 3,5/24/2011,Capital Goods,32.13831809,10.56450054,10.07137263,362.7114869,-0.124014742,-0.569399645,0.128301346,-0.123851292,-0.002171516,-0.01029882,,0.01752079,1.369826584,3.768404723,0.791447138,0.781056066,0.99832657,1.255771208,,4.810402005,-0.568963976,62.74033104,1.269646068,2.088407013,0.542462863
BB,Company 121,Rating agency 3,5/26/2011,Health Care,1.847943572,1.369296891,0.632207067,117.1863427,0.150423974,0.226620562,0.701792913,0.272840543,0.065779495,0.138792857,0.149296919,0.441659473,8.035017195,1.220412383,0.533980015,0.338927704,0.957656976,3.788525264,,2.261156544,0.254997537,8.80065069,3.95321847,0.26683239,2.100681854
BB,Company 121,Rating agency 3,5/26/2011,Health Care,1.847943572,1.369296891,0.632207067,117.1863427,0.150423974,0.226620562,0.701792913,0.272840543,0.065779495,0.138792857,0.149296919,0.441659473,8.035017195,1.220412383,0.533980015,0.338927704,0.957656976,3.788525264,,2.261156544,0.254997537,8.80065069,3.95321847,0.26683239,2.100681854
A,Company 272,Rating agency 3,5/31/2011,Capital Goods,2.215198823,1.466005437,1.194909912,0,0.044785157,0.06410784,0.204643516,0.064257589,0.032246027,0.052914278,0.086078013,0.723461149,6.120173147,1.65032574,0.627108442,0.304230938,0.897979467,3.812237116,,2.657889826,0.064400362,14.12792904,4.252816056,0.151426405,29.4610865
A,Company 105,Rating agency 3,5/31/2011,Capital Goods,1.613782297,1.310726949,0.261159216,58.66991009,0.055029356,0.075916391,0.212865744,0.075857849,0.055862062,0.097713884,0.126978994,1.015079443,5.843983398,1.277538159,0.555703242,0.264047428,0.89423782,6.806219207,,2.257709587,0.07492308,9.955741469,7.5361951,0.123097372,8.837884568
B,Company 201,Rating agency 3,6/1/2011,Energy,0.680996654,0.118611087,0.117414256,0,0.168461708,0.182423023,0.994971147,0.237942839,0.083358421,0.109295271,0.278791932,0.495460577,0.133666223,3.388855291,1.0034853,0.091469854,0.621633364,3.876247127,,3.362179228,0.185434007,4.237401356,6.236572074,0.648101734,0
BB,Company 47,Rating agency 3,6/1/2011,Basic Industries,1.407695574,0.955152919,0.466149181,56.36284877,0.057048975,0.075726627,0.279967063,0.118206936,0.047463492,0.087330914,0.107224886,0.826013881,4.778568613,1.24627575,0.553085274,0.256352138,0.823575854,2.485193347,4.295775848,2.227326597,0.076030871,7.090103775,3.033361677,0.108041562,13.82257148
BBB,Company 467,Rating agency 3,6/9/2011,Technology,1.541208958,1.1534699,0.645575423,64.69348006,0.043515229,0.053511406,0.306136877,0.05351891,0.047499376,0.10523657,0.129464394,1.088071546,21.84306557,1.577582914,0.589938583,0.192205704,0.894523444,1.507497301,,2.734890822,0.054363896,13.10161087,1.692088284,0.149555464,4.870214604
BBB,Company 81,Rating agency 3,6/21/2011,Public Utilities,1.115278738,0.625205107,0.352716367,27.16395579,0.100665805,0.105043275,0.99419747,0.172849295,0.027576619,0.031135269,0.10858348,0.270112561,0.407805004,2.986886603,0.752115895,0.270520171,-0.304734678,-3.29608038,4.701971754,3.952534653,0.104784528,5.760728426,10.56600498,0.280593513,0.85911737
BBB,Company 122,Rating agency 3,6/21/2011,Energy,1.937159511,1.004015476,0.315284822,53.20866739,0.078585445,0.018289097,0.239762148,0.120446591,0.100441807,0.034155994,0.224699185,1.269424452,6.426515809,1.21601229,0.551882221,1.977470367,0.643380728,3.245184653,,2.239510242,0.018236338,10.63066845,5.141624178,0.075591056,7.352434302
BB,Company 167,Rating agency 3,6/24/2011,Public Utilities,0.987546455,0.796675323,0.30963373,32.70015314,-0.114778234,-0.094929224,1.005386954,0.004540182,-0.044286967,-0.040704149,,0.386179907,0.473609583,2.416427251,0.713321333,0.032969878,-0.051307066,-0.232305819,2.056592805,3.437496842,-0.094762378,13.64264599,4.492541554,0.276246643,0
BB,Company 167,Rating agency 3,6/24/2011,Public Utilities,0.987546455,0.796675323,0.30963373,32.70015314,-0.114778234,-0.094929224,1.005386954,0.004540182,-0.044286967,-0.040704149,,0.386179907,0.473609583,2.416427251,0.713321333,0.032969878,-0.051307066,-0.232305819,2.056592805,3.437496842,-0.094762378,13.64264599,4.492541554,0.276246643,0
BB,Company 227,Rating agency 3,6/28/2011,Capital Goods,3.426459491,2.32247706,1.713404174,44.52812423,0.130613872,0.148040963,0.298092119,0.154432333,0.120830897,0.164918044,0.239942586,0.920040472,3.008042436,0.992943608,0.498060279,0.111177485,0.732234179,2187.530643,,2.002128911,0.148115429,-0.753365338,2983.330661,0.201025664,11.35208143
A,Company 232,Rating agency 3,6/30/2011,Technology,1.19007846,0.557356611,0.264516253,39.88431814,0.148029401,0.197342688,0.462493502,0.198476539,0.131061478,0.269228666,0.64222786,0.872139015,7.121271197,3.920472073,0.797613605,0.246600256,0.792888827,12.09130503,,4.913242399,0.197933376,9.016431967,15.32843007,0.194799499,6.87506975
BBB,Company 459,Rating agency 3,7/1/2011,Energy,1.240587215,0.889605216,0.320330653,25.1827647,0.030317583,0.047196895,0.166641033,0.047219633,0.093263753,0.231882404,0.253007579,3.078684046,6.388848255,1.711330608,0.634469562,0.355477586,0.642606524,5.93738978,,2.711320353,0.047280795,1.491602492,9.313179258,0.041600002,8.076603249
BBB,Company 459,Rating agency 3,7/1/2011,Energy,1.240587215,0.889605216,0.320330653,25.1827647,0.030317583,0.047196895,0.166641033,0.047219633,0.093263753,0.231882404,0.253007579,3.078684046,6.388848255,1.711330608,0.634469562,0.355477586,0.642606524,5.93738978,,2.711320353,0.047280795,1.491602492,9.313179258,0.041600002,8.076603249
BBB,Company 309,Rating agency 3,7/29/2011,Energy,1.956393921,1.09905344,0.678294745,17.34390753,0.235372038,0.214909909,0.993474034,0.299012983,0.102265715,0.100993419,0.282346081,0.436603298,0.534129108,1.768438194,0.64393993,0.004942008,0.650190807,3.337535009,2.263465651,2.745158785,0.214599528,8.860032647,5.078786671,0.333063166,0
BBB,Company 467,Rating agency 3,8/2/2011,Technology,1.451682523,1.077533372,0.596518135,164.9951085,-0.073154626,-0.067662632,0.350356455,-0.075406692,-0.032082102,-0.058280456,,0.440550576,8.681567799,1.881835791,0.612782566,-0.067356973,0.670117515,0.303186498,3.035282115,3.022003269,-0.068192797,-15.13938784,0.451727847,0.105540292,1.891087461
B,Company 401,Rating agency 3,8/11/2011,Basic Industries,2.487410002,2.039241068,0.872767711,70.38371709,0.026162259,0.042585426,0.147236905,0.086787092,0.020968237,0.040322745,0.05625908,0.799791452,2.034221672,1.699450157,0.628578836,0.358958786,-0.359316933,-0.151739576,,2.721099237,0.042594255,2.70412651,0.41695575,0.038930778,6.438590155
BB,Company 47,Rating agency 3,8/12/2011,Basic Industries,1.361069556,0.881424856,0.304784757,89.53706505,0.026560933,0.03825559,0.291000653,0.078767568,0.013083231,0.023778107,0.049948411,0.494721405,4.22555947,2.866784953,0.736495827,0.310284169,0.678918382,1.606913838,4.336168633,3.867534289,0.038199961,11.77376835,2.330332261,0.069536246,6.462546233
BB,Company 47,Rating agency 3,8/12/2011,Basic Industries,1.361069556,0.881424856,0.304784757,89.53706505,0.026560933,0.03825559,0.291000653,0.078767568,0.013083231,0.023778107,0.049948411,0.494721405,4.22555947,2.866784953,0.736495827,0.310284169,0.678918382,1.606913838,4.336168633,3.867534289,0.038199961,11.77376835,2.330332261,0.069536246,6.462546233
BB,Company 368,Rating agency 3,8/15/2011,Consumer Services,0.074282142,0.073199806,0.055063254,6.087906334,0.385057022,0.328934544,0.913405416,0.331437439,0.042036157,0.040253519,0.078589671,0.109706699,3.73092586,0.851247754,0.458554915,0,0.72318609,3.052581792,,1.873594638,0.330704207,22.67064584,4.224452492,0.651197606,0.658349071
BB,Company 368,Rating agency 3,8/15/2011,Consumer Services,0.074282142,0.073199806,0.055063254,6.087906334,0.385057022,0.328934544,0.913405416,0.331437439,0.042036157,0.040253519,0.078589671,0.109706699,3.73092586,0.851247754,0.458554915,0,0.72318609,3.052581792,,1.873594638,0.330704207,22.67064584,4.224452492,0.651197606,0.658349071
B,Company 376,Rating agency 3,8/31/2011,Technology,1.31350645,0.978489127,0.51567343,58.39820621,-0.055563576,0.067091595,0.999463847,0.066574893,-0.023770382,0.034764313,,0.426187812,6.269701886,1.504880453,0.604289037,0.737046376,0.552885092,0.82048155,,2.505333016,0.067527721,10.83871544,1.481379418,0.119672711,0
BB,Company 370,Rating agency 3,9/1/2011,Energy,1.287019354,0.741313412,0.045812946,134.2810144,0.248455821,0.247316235,0.007496294,0.462246624,0.035843493,0.03960136,0.080994696,0.144620254,0.108874649,1.258535415,0.559957676,0.571828523,-0.002230451,-0.016522868,0.404609251,2.254624284,0.248559491,5.360833309,7.317899305,1.179278379,2.347060245
BBB,Company 282,Rating agency 3,9/2/2011,Consumer Non-Durables,1.06733997,0.490440009,0.169151593,28.70067791,0.121460132,0.144712327,0.399403723,0.185560975,0.096872026,0.142691748,0.281754986,0.803792171,4.429013662,1.945495715,0.66372966,0.339066058,0.578485384,1.357530049,0.979616348,2.96093933,0.145156897,9.151667255,2.368114409,0.102566118,9.056636022
BBB,Company 282,Rating agency 3,9/2/2011,Consumer Non-Durables,1.06733997,0.490440009,0.169151593,28.70067791,0.121460132,0.144712327,0.399403723,0.185560975,0.096872026,0.142691748,0.281754986,0.803792171,4.429013662,1.945495715,0.66372966,0.339066058,0.578485384,1.357530049,0.979616348,2.96093933,0.145156897,9.151667255,2.368114409,0.102566118,9.056636022
A,Company 122,Rating agency 3,9/21/2011,Energy,1.932759019,1.088261324,0.406455171,45.70825822,0.102872576,0.148802177,0.255514636,0.149004938,0.159642179,0.333671699,0.335148272,1.543648565,7.821908421,1.117846626,0.527442576,0.273720139,0.700009584,7.467837124,,2.109345522,0.147116515,6.49663732,10.79279833,0.115383567,8.756367417
BB,Company 372,Rating agency 3,10/11/2011,Consumer Services,3.979058456,1.419964908,1.436276148,0,0.033369239,0.051108207,0.302234411,0.050964745,0.058123602,0.106290339,0.082758022,1.744775265,13.17788504,0.428304366,0.299739599,0.342660708,0.701437833,1.46754237,4.489111019,1.427907426,0.051093879,7.806272892,2.082444894,0.064570068,15.79796163
B,Company 296,Rating agency 3,10/24/2011,Transportation,1.468297616,1.313716113,0.707222222,79.74791913,0.05948348,0.059512222,0.433038968,0.239252553,0.01400087,0.055358681,0.038516407,0.236585542,0.374524824,1.643100654,0.595160433,-0.001369019,-0.88634488,-8.978647723,,2.743414593,0.215550306,6.501321034,10.16328313,0.149757126,7.422317531
BB,Company 169,Rating agency 3,10/26/2011,Technology,0.860249759,0.835769728,0.546984147,6.12185191,0.056995744,0.088334365,0.706892018,0.102203841,0.058894081,0.097862432,0.120994496,1.027855708,9.96447706,1.064093246,0.515330464,0.359316842,0.53648897,2.527267564,,2.072289232,0.089136623,2.360934682,4.706856787,0.099996287,7.872313779
BB,Company 169,Rating agency 3,10/26/2011,Technology,0.860249759,0.835769728,0.546984147,6.12185191,0.056995744,0.088334365,0.706892018,0.102203841,0.058894081,0.097862432,0.120994496,1.027855708,9.96447706,1.064093246,0.515330464,0.359316842,0.53648897,2.527267564,,2.072289232,0.089136623,2.360934682,4.706856787,0.099996287,7.872313779
BB,Company 118,Rating agency 3,11/4/2011,Health Care,1.306500934,0.777024131,0.061679313,48.46236932,0.006107148,0.016944467,1.008039587,0.06795976,0.006805294,0.024425464,0.041084442,1.141161372,2.185202812,4.958206668,0.825068181,0.378994359,1.005825632,1.067391486,0.291869306,5.944956243,0.016797657,12.93764359,1.067316924,0.052349185,0
BB,Company 118,Rating agency 3,11/4/2011,Health Care,1.306500934,0.777024131,0.061679313,48.46236932,0.006107148,0.016944467,1.008039587,0.06795976,0.006805294,0.024425464,0.041084442,1.141161372,2.185202812,4.958206668,0.825068181,0.378994359,1.005825632,1.067391486,0.291869306,5.944956243,0.016797657,12.93764359,1.067316924,0.052349185,0
